id,name,popularity
234821,Pier Giorgio Bellocchio,6.433
238066,Nazzareno Bomba,3.176
1489285,Emilian Cerniceanu,2.744
130538,Francesco Venditti,7.517
238067,Ruby Kammer,6.902
6730,Sacha Baron Cohen,39.424
7026,Rhys Ifans,46.88
154883,Bodhi Elfman,11.049
1677399,Rebecca Forsythe,3.886
933246,Angeline-Rose Troy,1.96
559457,Steve Agee,26.601
928698,Nic Novicki,3.234
66606,George Wendt,19.503
1351387,Malcolm Foster Smith,8.422
4030,Martin Klebba,10.052
10987,Verne Troyer,20.378
40066,Jason Lockhart,2.898
136102,Cassie Fliegel,6.217
1309431,Georgina Tolentino,1.62
1309432,Ginny You,0.833
1309433,Amanda Chism,4.942
104458,Victoria De Mare,51.604
77795,Katherine Waterston,44.747
76961,Demián Bichir,30.601
181081,Jussie Smollett,17.124
1486488,Callie Hernandez,7.3
37290,Nathaniel Dean,8.949
973667,Rosa Salazar,54.992
27319,Christoph Waltz,42.478
6161,Jennifer Connelly,111.736
932967,Mahershala Ali,84.093
1047649,Ed Skrein,26.183
1343579,Khalil Ramos,1.4
83352,Mircea Monroe,14.924
1708159,Ethan Salvador,2.139
589461,Jace Mclean,3.661
1708160,Jameson Blake,2.803
18262,Richard Riehle,33.807
559358,Ana Capri,5.876
1982,Ajay Naidu,11.565
7401,Lin Shaye,26.631
1296135,Peewee O'Hara,3.41
961834,Alex Anfanger,1.38
1338044,Joel Saracho,2.292
59846,Joanne Baron,17.27
1348735,Ruby Ruiz,10.445
558517,Pawel Szajda,9.438
1395818,Bajun Lacap,0.6
1473079,Jomari Angeles,2.268
1178351,Erika Woods,2.823
1178353,David MacAllen,0.6
1864205,Jerom Canlas,3.222
18999,J.K. Simmons,61.612
12898,Tim Allen,44.96
1894,Scott Caan,42.993
91369,Basil Hoffman,5.396
7166,Kevin Pollak,28.223
74748,Randy Couture,22.552
7623,Sam Raimi,19.188
168924,Lou Beatty Jr.,26.293
33654,Breckin Meyer,37.225
87192,Mike O'Malley,38.366
11084,Kelly McGillis,24.392
1473345,Karrueche Tran,9.838
8892,Olivia Newton-John,29.396
31633,Jaason Simmons,7.349
569165,Rob Van Dam,27.283
935049,Namrata Singh Gujral,1.22
1081736,Jena Sims,10.439
552276,Brad Mills,5.111
1371784,Scott Thomas Reynolds,9.125
1522266,Rico Ball,11.131
1315802,Dawn Hamil,6.868
1489198,Bob Constance,0.6
237045,Prabhas,18.322
117690,Prithviraj Sukumaran,23.923
85883,Shruti Haasan,11.533
1275608,Easwari Rao,18.418
465273,Jagapati Babu,16.359
1187399,Bobby Simha,8.686
574772,Sriya Reddy,10.9
2262423,Ramachandra Raju,6.457
1511161,Mime Gopi,5.928
85733,Tinnu Anand,18.973
1400921,Jesse McGinn,0.98
1845449,Robert Hartburn,0.6
1845450,Bruce Denny,1.22
1845451,Connor Gosatti,4.434
1845452,Rose McKenna,0.6
56365,Charlie Hunnam,54.184
40477,Chris O'Dowd,55.006
51988,Lizzy Caplan,59.081
