writer_id,writer_id
10859,78110
54697,78110
10707,10722
280,10707
10707,11108
10707,14606
12094,76221
9144,12094
12094,151131
12094,138175
1300,565491
17883,565491
565491,1350918
565491,1541264
171830,565491
89027,565491
212,565491
5140,565491
23430,565491
524,565491
58552,565491
510,565491
17883,38794
5953,38794
880,1281388
2034,35460
97579,1217029
56205,97579
224,97579
5602,97579
1032,97579
5970,40863
5970,1063268
1063229,1063268
9656,56578
9656,56584
9656,56585
5953,9656
9656,56586
9656,110068
1219529,1750900
5281,80602
880,80602
20019,80602
1012,5575
1012,168309
1012,74752
1012,3027
9656,60931
23659,60931
1462,77869
17051,1179828
94342,1212871
38785,1212871
33192,1212871
10757,1212871
1461,1921
1892,1921
99363,1407486
10859,99363
510,34892
569,130253
90037,130253
2128,130253
58689,130253
62245,175698
56485,586110
2176,56485
5602,9306
24,9306
20665,27436
3556,27436
1152,27436
15175,27436
27436,78439
880,27436
2303,27436
928912,1284159
3490,928912
11090,155531
146459,155531
15346,155531
55710,155531
22226,155531
108,155531
155531,219396
11108,155531
11109,155531
488,155531
11090,146459
108,146459
488,146459
146459,204037
974,146459
39,207132
131680,207132
11090,55710
19311,207132
207132,1323533
11090,22226
3225,207132
11090,12891
121000,207132
2294,11090
207132,1295220
11090,14999
3288,207132
138,11090
207132,1198607
11090,47730
11090,52443
108,11090
11090,19303
11090,11108
11090,11109
11090,52842
488,11090
11090,41039
11614,86239
956,86239
31155,1184590
31155,98132
138,31155
11614,934281
11657,25598
11649,11657
1152,11657
11657,30715
45405,182009
144009,182009
52444,182009
225499,1111120
2632,225499
16483,225499
64172,225499
3288,225499
16847,236211
94124,1478307
65225,94124
94124,2601818
239,6056
3388,6056
6056,162931
6056,54645
6056,97263
5741,6056
1602979,1635720
3776,1099847
56383,1099847
138,1099847
21023,80602
17051,21023
956,1300
1300,1217029
1300,55536
1300,10859
1300,35796
510,1300
1300,117443
4581,6732
6732,88926
6730,6732
6732,59919
6732,185438
184581,1110909
956,4385
956,957
36589,936279
138,956
956,975
956,3125
524,956
956,17697
956,974
956,1121
515,12952
515,15218
515,8844
515,37917
515,82226
515,52849
515,3087
515,3125
515,65360
515,1158
515,20019
515,519
4581,11090
4581,88926
4429,4581
4581,16376
172,4581
3064,4581
4581,11108
1243,88926
88926,136512
88926,1213320
88926,1222855
66564,69342
19292,66564
13922,66564
60949,66564
7166,66564
66564,224610
1532,66564
66564,543261
7056,12952
12952,120096
12952,36589
224,12952
3224,12952
12952,65360
126315,219992
15810,38792
15811,38792
26205,38792
15812,38792
510,38792
6951,105676
11649,105676
12208,105676
101386,105676
69233,105676
57637,105676
2710,12891
2294,2710
2710,2712
2710,10828
525,2710
2710,82194
2710,143593
2710,16483
2710,43518
2710,6201
2710,11770
508,2710
108,2710
488,2710
2710,1710022
2710,14393
24,2710
525,83854
3634,83854
83854,137427
17108,17114
49281,51534
5602,49281
49281,78138
51534,67367
51534,78138
1243,1193125
30715,1193125
510,1193125
23289,30614
12891,1239407
1239407,1265056
10828,1239407
10859,1239407
9033,1239407
41088,1239407
1108,1239407
55638,1239407
213001,1239407
12995,23659
9813,12995
12995,23446
879,12995
31,12995
12995,12996
7056,76221
65360,76221
24893,74112
7,24893
24893,76100
16919,24893
151343,229043
21527,137427
9832,1009255
64227,1009255
185438,1024823
1024823,1245726
81597,1024823
14386,62644
880,1001646
84714,101399
10567,11649
2228,11649
3388,11649
11649,62862
1532,11649
1892,11649
11649,17697
11649,51329
33441,71082
33441,33442
1769,1332325
519,107395
1031943,1031944
1147872,1147874
79082,1546365
591835,1546365
12891,1546365
55934,1546365
1212270,1546365
168330,1546365
79082,591835
1152,591835
13333,591835
52934,79082
79082,113373
54734,79082
19274,79082
79082,440414
79082,1416533
79082,1212270
79082,555633
1524,52871
52845,52871
52871,1402358
52871,67773
14386,111513
7904,11707
3388,11707
11707,116805
488,11707
24,11707
1099028,1350245
10966,10967
10296,10967
10967,67758
7630,57862
7630,10967
7630,20204
844,7630
16847,20204
6046,20204
20204,36602
1090,20204
20204,66681
20204,1039527
20204,59027
15345,15346
455,9182
15345,28974
15345,120015
15345,1214366
15345,1214367
15344,15345
9181,9182
9181,23626
19242,59583
7270,59583
1152,59583
488,59583
15217,15346
15346,20204
2294,15346
15346,28974
15346,65779
15346,40256
15244,15346
1706,15346
488,15346
15346,58189
17883,1279644
5953,1279644
525,17883
2632,17883
6730,17883
17883,113373
1461,17883
5953,17883
5129,17883
17883,928625
17883,212208
17883,51329
1212856,4113608
21183,41530
68843,68844
68843,347335
68844,347335
42,71082
71082,1194205
203285,934803
203285,1123897
23799,77277
71947,77277
5281,77277
9281,77277
880,932432
57755,932432
1152,102445
110,102445
488,102445
1032,102445
589,102445
1776,102445
1146,64751
64750,64751
64751,68813
19896,64751
232156,1386070
2130,89250
5602,1617373
78021,1617373
7904,1115959
168877,1115959
41039,1424519
23659,55710
22226,55710
55710,74619
55710,177475
55710,985161
55710,62862
30614,55710
21007,55710
55710,56323
3388,28780
4385,5555
10696,1614855
224610,1614855
4385,31493
4385,4955
4385,39012
4581,23659
22226,23659
23659,58225
10859,23659
23659,105648
23659,161932
23659,45400
4937,23659
23659,62862
23659,30614
258,23659
23659,69230
8688,23659
17039,932759
1280031,1826669
11218,21204
2690,21204
11449,21204
8654,57055
9777,76422
8654,76422
25598,37268
31,37268
1158,61855
60585,67773
3064,15490
61,76422
