actor_id,actor_id
8780,58643
94185,131006
18050,1273248
3489,1273248
56734,1273248
335,1273248
54479,1273248
3293,1273248
28640,1273248
1159982,1273248
23532,1273248
15250,1273248
1219029,1273248
1018992,1273248
77090,102786
77090,216674
77090,223879
21397,77090
8395,77090
77090,107379
8210,20354
20354,85924
17051,20354
5472,20354
20354,1508927
20354,56322
20354,216674
20354,59175
16327,20354
1276,20354
2778,20354
212,20354
7489,20354
20354,61178
20354,69718
2882,20354
3063,20354
5602,20354
20354,586796
4512,20354
9315,20354
15425,20354
20354,59174
6279,20354
18976,20354
923,20354
114,20354
20354,32905
20354,111946
1985,20354
20354,1049119
11863,20354
8210,12791
8210,9186
100,8210
2219,8210
8210,971329
3027,8210
21319,27737
5695,21319
21319,22252
21319,32799
10051,21319
8963,21319
21319,41694
11091,85924
4429,6396
190,85924
6396,102445
10297,116088
89366,1642765
3901,5695
3901,17288
3894,3901
976,3901
3901,32747
3901,17605
2963,3901
3293,3901
1372,3901
3036,3901
3901,59175
3901,1225953
524,3901
3901,11288
3901,50463
3901,127558
3901,55536
3901,4764
3901,18918
3901,34408
1370,3901
3901,1303037
3901,73421
3901,16790
1150,3901
488,3901
955,3901
368,3901
3901,4027
3901,10083
525,3901
27737,62596
7401,27737
27737,76693
7073,27737
14999,27737
5148,27737
11161,27737
10051,27737
27737,1407169
27737,992507
190,27737
13565,27737
53257,62644
2963,53257
3036,53257
53257,968660
12835,53257
53257,998387
11366,53257
53257,58098
529,55899
55899,512991
55899,1286329
36811,55899
55899,74266
55899,453272
62001,1283805
488,62001
3027,62001
108,62001
587,11160
2372,11160
10825,11160
3131,11160
2963,11160
11160,23880
11160,19767
3036,11160
518,11160
2778,11160
11160,21315
11159,11160
11160,102209
11160,17764
11160,74750
6949,11160
2294,11160
884,11160
4169,11160
11160,58650
10182,11160
11160,1224954
2628,11160
138,11160
11160,74251
11160,58728
11160,543349
5695,27737
2144,5695
5695,22252
5695,31155
4483,5695
5695,10182
1,5695
5695,41406
138,5695
5695,31310
5695,8333
5695,37710
5695,19707
5695,19665
209511,221098
209511,996701
1229,209511
16851,209511
81295,1216908
550843,1216908
3894,17288
17288,87243
1100,17288
17288,76070
2039,17288
17288,113505
17288,206919
8293,17288
17288,227454
11207,17288
31,17288
17288,77335
5530,17288
10862,17288
17288,55934
4273,17288
488,17288
6979,17288
2034,17288
17288,28238
17288,1353827
224,17288
17288,933238
138,17288
5572,17288
7467,17288
8998,17288
17288,57581
1884,17288
12897,17288
17288,139098
5576,17288
5576,13021
5292,5576
5576,23931
5576,7517
2963,5576
2224,5576
5576,108916
5576,17183
5576,30614
2712,5576
1461,5576
2232,5576
500,5576
5576,10822
3392,5576
2228,5576
5576,6913
1979,5576
3197,5576
380,5576
5576,6856
3794,5576
5576,12656
5576,6949
5576,5602
4724,5576
5576,6159
5576,51544
5576,6818
1152,5576
5576,38225
3084,5576
5576,11701
1158,5576
1160,5576
589,5576
5576,21457
5576,21200
1255,5576
5576,933238
5576,210160
138,5576
1776,5576
5576,1193604
5572,5576
5576,41694
5576,51918
5576,114925
5576,109255
5576,216728
5576,929827
5576,13776
216294,557259
557259,567278
557259,1443760
557259,1112222
90424,557259
1100,557259
557259,1234699
65605,557259
557259,1290077
149192,557259
149193,557259
167391,557259
216287,557259
9205,41687
6952,9205
9205,73457
9205,13920
880,9205
9205,19767
205,9205
8211,9205
9205,11617
2876,9205
9205,9206
4724,9205
3905,9205
517,9205
9205,212225
9205,19149
9205,15503
9205,9207
147,11149
2295,11149
11149,16940
11149,21315
11149,11510
589,11149
11149,224610
11149,39121
10860,69210
17380,1309410
97186,102786
97186,1508927
33663,97186
97186,216674
97186,1364815
97186,1145892
97186,1596650
19011,97186
97186,1523611
97186,501362
97186,230898
97186,2271164
1333,1225783
212686,1225783
85139,1225783
231547,1225783
127725,1225783
119586,1225783
1169065,1225783
209596,1225783
476866,1225783
31,18473
488,18473
18473,204679
18473,1544133
7465,28414
18331,28414
9273,28414
2746,28414
8447,28414
28414,156204
5953,28414
11365,28414
28414,56205
7623,59206
41039,59206
488,59206
1243,59206
59206,116805
3027,59206
13240,60073
33235,60073
38673,60073
60073,996701
21007,60073
24045,60073
49915,60073
33663,60073
55085,60073
60073,94185
2231,60073
60073,117669
60073,108916
1893,60073
134,60073
49265,60073
60073,1277188
60073,155422
60073,543505
60073,91606
3051,60073
60073,135651
57755,60073
60073,237405
60073,440414
60073,88076
11090,60073
2685,60073
60073,72450
60073,1025680
60073,1385039
77795,163731
8975,163731
24291,163731
569,1332516
27763,1332516
6193,1332516
93919,1332516
5344,1332516
12763,1332516
10696,102744
18354,102744
74423,102744
11008,102744
22290,102744
589,102744
4252,13645
1255,13645
13645,1214430
67711,169337
52374,56890
1428,56890
9832,56890
56890,112561
22252,56890
9789,56890
15832,56890
2296,56890
2453,56890
504,56890
1754,56890
64,56890
15309,56890
240,56890
3359,56890
51988,52937
7465,52937
17402,52937
10859,52937
50095,52937
52937,84497
934,52937
51856,52937
22226,52937
52937,58112
23659,52937
5916,52937
52937,198150
52937,291263
86626,207985
5129,9274
827,9274
9274,35192
9274,18802
9274,11492
9274,26847
9274,10222
9274,10400
9274,14990
9274,16851
2388,9274
9274,18589
9274,31070
190,9274
1884,9274
9274,1424363
20750,224197
9781,224197
7904,224197
224197,1406450
1534,224197
94098,224197
54708,224197
54182,62000
54182,56446
54182,67017
216294,216299
216290,216294
216294,1443760
216294,1112222
216294,1212340
500,216294
18626,216294
77068,216294
53397,216294
216294,1218615
216294,1290077
151246,216294
216294,1233880
149192,216294
149193,216294
167391,216294
216294,1874583
216290,216299
216290,567278
216290,1443760
92651,216290
90142,216290
149193,216290
167391,216290
216287,216290
216290,1504786
216290,1141892
216299,557259
216299,567278
216299,1443760
216299,1212340
19279,216299
140152,216299
90142,216299
149192,216299
149193,216299
216287,216299
216299,3018962
216299,1504786
216299,582664
216299,557261
6734,6952
6734,141317
6734,16475
8892,13021
13021,935049
1271,13021
13021,996701
13021,20309
13021,51798
8944,13021
13021,55636
8212,13021
4430,13021
13021,40462
7447,13021
500,13021
13021,28412
380,13021
6856,13021
13021,23119
1204,13021
350,13021
13021,41088
1205,13021
13021,20158
5469,13021
4724,13021
349,13021
13021,24516
13021,13922
8447,13021
13021,49961
2628,13021
13021,220303
13021,16858
6684,13021
5572,13021
1004,13021
11856,13021
13021,1669334
6449,13021
13021,71425
3092,13022
2037,13022
6193,13022
1269,13022
13022,23346
13022,53926
13022,21596
6485,13022
3636,13022
3027,13022
17305,19303
17305,17306
17305,33663
9278,17305
17305,55265
17305,41419
17305,62064
17305,19797
15424,17305
17305,131642
17305,149670
15376,17305
17273,17305
12122,17305
17305,85930
17305,122474
17305,1637021
567278,1112222
90424,1112222
1112222,1212340
19453,1112222
1004584,1112222
2585,1112222
90142,1112222
149192,1112222
149211,1112222
216294,567278
90424,567278
567278,1212340
110001,567278
1032,567278
10593,567278
567278,1290077
567278,2533245
3556,567278
149193,567278
149211,567278
133248,567278
216287,567278
159572,1443760
82702,1443760
1141894,1443760
23678,1443760
216300,1443760
149192,1443760
1443760,3018962
16483,90424
90424,1229705
3636,90424
90424,1214233
90424,216287
10825,154332
18972,154332
9657,154332
18976,154332
50346,154332
60950,154332
154332,156204
25837,154332
5602,17343
17343,932497
4347,17343
5292,52851
13240,52851
2888,52851
15758,52851
4430,52851
1269,52851
18746,52851
19292,52851
52851,109560
52851,60950
2628,52851
52851,54502
20019,52851
52851,72118
18978,52851
52851,234120
52851,98775
21246,27422
98285,188013
32895,188013
78501,188013
454,587
587,1508927
587,19767
587,25129
587,15860
587,16866
587,11478
587,55165
587,1230062
5292,13240
5292,10859
5292,1168097
934,5292
1230,5292
5292,73457
5292,172069
569,5292
5292,7499
5292,55636
2231,5292
5292,58754
2282,5292
5292,11181
5292,11477
5292,19492
5292,20907
501,5292
5292,196179
2296,5292
31,5292
1204,5292
5064,5292
5292,7132
2178,5292
1038,5292
5281,5292
5292,1584347
133,5292
5292,1117313
4512,5292
5292,1253360
5292,17838
5292,1853909
5292,8891
1152,5292
5292,11701
5292,17087
4691,5292
937,5292
5292,5344
5292,128550
3087,5292
5292,25002
5292,20275
5292,16294
5292,41694
5292,12151
5292,16897
5292,103942
5292,20019
5292,8851
5292,14528
5292,2326151
5292,196858
131,13240
1892,13240
518,13240
3085,13240
6193,13240
13240,1523704
1032,13240
13240,62861
13240,16450
13240,73421
11614,13240
13240,533007
13240,36602
2680,13240
108,13240
59222,68122
3391,59222
59222,77073
59222,82785
1951,59222
2059,59222
16475,59222
10593,1212340
1065245,1212340
149192,1212340
149193,1212340
216287,1212340
1212340,1735738
1212340,1504786
557261,1212340
2053,7623
2053,19498
1100,2053
2053,2838
2053,60072
1532,2053
1269,2053
2053,21111
2053,9994
2053,6949
2053,8891
2053,4491
2053,16850
2053,7180
2053,2710
2053,156483
21246,1256036
21595,1256036
5292,10430
10430,13240
6384,10430
1231,10430
7447,10430
9789,10430
10430,10431
10430,15735
139,10430
10430,18802
5064,10430
504,10430
4491,10430
190,10430
4784,31512
1461,31512
27811,31512
5281,31512
488,31512
3027,31512
2632,11006
5292,11006
11006,13240
8924,11006
2047,11006
7517,11006
11006,53714
11006,30614
10696,11006
3897,11006
11006,36422
9273,11006
11006,31132
11006,23659
6941,11006
11006,19394
11006,11864
6968,11006
11006,59919
11006,90633
4483,11006
11006,21111
11006,25541
819,11006
8167,11006
4587,11006
11006,11661
10690,11006
4800,11006
11006,16475
11006,20019
9032,11006
11006,16896
1100,52801
26510,52801
2228,52801
2461,52801
5602,52801
52801,168326
1150,52801
15886,52801
46949,52801
52801,141028
18892,52801
41887,52801
6575,58724
6575,21315
6575,86034
6575,74423
6575,127495
530,6575
6575,9137
6575,8447
6575,44025
16700,17787
16700,22809
4566,16700
16700,37045
7056,16700
1518,16700
16700,17832
16700,141551
16700,4018554
9642,20173
2231,20173
10431,20173
20173,1707543
224,20173
20173,56205
20173,79402
585,58724
8212,58724
58724,220088
17832,58724
11023,67979
17140,67979
2712,67979
1330,67979
4587,67979
1158,67979
280,67979
67979,84021
5292,1431050
21136,1431050
536,52394
15852,52394
3130,52394
5480,52394
11275,17787
7056,17787
5049,17787
17787,32990
17787,4018554
98285,1252313
159572,1252313
82702,1252313
85138,1252313
505710,1252313
98286,1252313
1252312,1252313
1234153,1252313
1223707,1252313
62173,85613
51988,77517
21657,77517
1269,77517
133,77517
3141,77517
517,77517
77517,105647
33259,77517
3027,77517
73128,221098
84223,221098
79082,221098
29221,221098
21180,221098
221098,476163
221098,999790
221098,221581
78080,221098
10980,221098
5367,221098
1243,221098
5352,221098
221098,1072572
51331,1254396
80613,1254396
984680,1254396
542870,1254396
67274,1254396
1254396,2413513
503,221098
503,21028
503,1094091
478,503
53,503
503,20189
503,51072
503,530618
503,11825
503,82663
503,56542
503,77700
503,4730
503,234817
503,17338
503,98522
500,503
503,38670
503,3492
503,1309774
503,935201
503,11864
503,18802
503,80352
503,7132
503,109513
503,5915
503,58478
503,3905
503,61134
503,142995
503,3292
503,73035
503,2219
503,51298
503,74502
488,503
503,517
503,21457
503,126713
503,132354
503,88029
503,26291
503,20403
503,145749
503,163774
503,150810
503,41694
503,154888
503,23312
503,585272
503,60952
80602,205982
134,205982
11824,205982
77321,93638
50266,583111
80110,583111
111455,583111
5695,62596
50094,62596
5139,62596
35579,74673
74673,104033
74673,117259
62018,74673
42824,130129
27011,51579
7004,42824
74673,1211636
51579,543193
42824,86237
37008,42824
67778,1211636
1234,1211636
42824,102429
21315,1211636
19144,1211636
12714,1211636
36423,1211636
1131215,1211636
65205,1211636
26223,1211636
1211636,1636959
1211636,1266949
1211636,2207168
5538,76850
10767,29097
3036,29097
29097,57829
118,29097
29097,78572
504,29097
29097,79713
29097,57830
29097,77496
29097,104427
29097,38782
91520,1047649
2299,91520
59175,91520
4581,91520
2282,91520
91520,1016168
91520,586286
91520,1216606
4690,91520
10491,91520
27754,79692
8780,27754
187470,1347947
1375795,1716494
1375795,1860831
1375795,1388470
1375795,1885228
1375795,1448516
1274508,1375795
1375795,1633001
15556,1375795
115128,1375795
378,1375795
20354,20374
11149,20374
20374,91520
20374,21028
2299,20374
20374,84497
3894,20374
20374,131723
20374,172069
529,20374
20374,37625
2963,20374
658,20374
11108,20374
20374,32203
20374,141687
1893,20374
20374,77700
879,20374
6832,20374
1772,20374
17052,20374
20374,216986
9048,20374
449,20374
20374,75131
20374,38773
20374,61363
20374,58873
10980,20374
207,20374
8602,20374
20374,109513
11702,20374
20374,145247
20374,33192
19292,20374
5916,20374
20374,1224484
20374,85756
3292,20374
3052,20374
11824,20374
20374,96066
20374,110927
20374,928572
20374,51976
20374,127048
20374,90451
20374,1748282
20374,1232126
20374,1375338
20374,116277
14405,20374
20374,52783
20374,109439
11863,20374
26852,1466581
17142,1068123
59261,1466581
9656,1068123
14406,1466581
501362,1466581
131,1068123
1466581,1636739
9292,1068123
13611,1068123
99916,1068123
6471,1068123
7489,1068123
3391,1068123
1032,1068123
18626,1068123
102,1068123
60074,1068123
968660,1068123
35028,1068123
3063,1068123
17087,1068123
70233,1068123
76519,1068123
62049,1068123
80965,1068123
10375,1068123
11649,11663
27428,2099497
1796,58723
3052,58723
9273,2099497
58723,2264908
31,2099497
1105079,2099497
58723,1232615
1903874,2099497
19,41421
17341,41421
41421,60898
11665,41421
41421,129104
33192,41421
41421,235767
23678,41421
41421,41422
41421,1091341
6677,8699
8699,173150
5823,8699
8699,40403
7499,52480
21593,52480
21595,52480
52480,68842
524,52480
38582,52480
36423,52480
52480,56381
19303,142192
142192,1637021
228968,543261
527313,543261
84497,543261
934,543261
3894,543261
13242,543261
287,543261
569,543261
55638,543261
17286,543261
4495,543261
30614,543261
6832,543261
101542,543261
80149,543261
70851,543261
31,543261
10990,543261
132311,543261
9780,543261
236695,543261
18918,543261
17832,543261
1620,543261
8891,543261
11701,543261
130565,543261
146457,543261
111455,543261
543261,578081
531,543261
543261,1261116
105676,105678
105677,105678
92707,105678
105678,1207834
105678,1012977
8261,105678
12208,105678
95076,105678
83979,105678
83982,105678
84678,105678
105675,105678
6951,459980
6951,18288
6951,129101
6951,36208
6951,1105079
6951,7470
6951,9788
6951,552139
6951,105676
105676,105677
69233,105676
92707,105676
6384,105676
11370,105676
105676,1012977
8261,105676
105676,176023
500,105676
105676,108661
12208,105676
101386,105676
105672,105676
