id,title,release_date,budget,revenue,vote_average,vote_count,popularity,genres,keywords
193726,ABCs of Death 2,2014-10-02,0,7171,5.391,290,11.089,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9706, 187056]"
259956,About Alex,2014-08-08,0,0,6.129,136,15.48,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
1034474,Above and Beyond,2014-05-08,0,0,6.0,1,0.6,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
79780,About Fifty,2011-11-11,0,0,4.5,6,1.4,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
98870,Think of Me,2011-10-15,0,0,6.4,7,1.177,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
72331,Abraham Lincoln: Vampire Hunter,2012-06-20,69000000,116500000,5.717,3158,57.959,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[840, 3133, 163671, 179585, 207928, 209409]"
455236,Accident Man,2018-02-06,0,0,6.122,455,22.938,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[9717]
74777,Absentia,2011-03-03,70000,0,5.818,322,10.996,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[9872, 10164, 14780, 156091, 189102, 206086, 208364, 219989, 241738, 244298, 244299]"
646150,Acceleration,2019-11-08,3000000,0,5.8,53,9.337,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
24192,The Gospel According to Matthew,1965-03-03,0,0,7.444,328,13.44,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6150, 186, 5565, 230097]"
